rodada_id,partida_id,partida_data,clube_casa_id,clube_casa_nome,clube_casa_posicao,aproveitamento_mandante,clube_visitante_id,clube_visitante_nome,clube_visitante_posicao,aproveitamento_visitante,placar_oficial_mandante,placar_oficial_visitante,valida
7,302714,2023-05-20 21:00:00,277,Santos,14,"['d', 'd', 'd', 'v', 'd']",275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",0,0,True
7,302711,2023-05-21 16:00:00,262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",1,0,True
7,302717,2023-05-21 18:30:00,284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",3,1,True
7,302716,2023-05-22 20:00:00,283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",0,1,True
8,302744,2023-05-27 16:00:00,293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",1,2,True
8,302745,2023-05-27 16:00:00,356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",2,0,True
8,302737,2023-05-27 18:30:00,262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",1,1,True
8,302746,2023-05-27 18:30:00,1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",1,1,True
8,302739,2023-05-27 21:00:00,276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",2,1,True
8,302740,2023-05-28 16:00:00,264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",2,0,True
8,302743,2023-05-28 16:00:00,285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",2,0,True
8,302741,2023-05-28 18:30:00,280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",277,Santos,14,"['d', 'd', 'd', 'v', 'd']",2,0,True
8,302742,2023-05-28 18:30:00,282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",1,1,True
8,302738,2023-05-28 19:00:00,263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",2,0,True
9,302759,2023-06-03 16:00:00,356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",0,0,True
9,302756,2023-06-03 18:30:00,283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",0,1,True
9,302758,2023-06-03 18:30:00,293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",1,0,True
9,302760,2023-06-03 18:30:00,327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",2,0,True
9,302754,2023-06-03 21:00:00,277,Santos,14,"['d', 'd', 'd', 'v', 'd']",285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",1,1,True
9,302751,2023-06-04 16:00:00,266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",2,1,True
9,302757,2023-06-04 16:00:00,284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",2,1,True
9,302753,2023-06-04 18:30:00,275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",3,1,True
9,302755,2023-06-04 18:30:00,290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",0,1,True
9,302752,2023-06-05 20:00:00,267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",1,4,True
10,302787,2023-06-10 16:00:00,294,Coritiba,18,"['d', 'd', 'v', 'v', 'e']",277,Santos,14,"['d', 'd', 'd', 'v', 'd']",0,0,True
10,302778,2023-06-10 18:30:00,264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",1371,Cuiabá,13,"['d', 'd', 'v', 'e', 'v']",1,1,True
10,302783,2023-06-10 18:30:00,282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",280,Bragantino,7,"['v', 'v', 'v', 'e', 'd']",1,1,True
10,302789,2023-06-10 18:30:00,265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",2,2,True
10,302774,2023-06-10 21:00:00,263,Botafogo,1,"['v', 'v', 'v', 'v', 'v']",356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",2,0,True
10,302790,2023-06-11 11:00:00,327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",2,2,True
10,302776,2023-06-11 16:00:00,276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",0,2,True
10,302785,2023-06-11 16:00:00,285,Internacional,11,"['v', 'v', 'e', 'd', 'e']",267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",2,1,True
10,302771,2023-06-11 18:30:00,262,Flamengo,2,"['d', 'v', 'v', 'e', 'e']",284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",3,0,True
10,302781,2023-06-11 18:30:00,290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",2,2,True
11,302803,2023-06-21 19:00:00,276,São Paulo,4,"['v', 'd', 'v', 'e', 'v']",293,Athlético-PR,8,"['d', 'v', 'e', 'd', 'v']",2,1,True
11,302806,2023-06-21 19:00:00,283,Cruzeiro,10,"['d', 'v', 'e', 'v', 'e']",356,Fortaleza,9,"['v', 'v', 'd', 'v', 'd']",0,1,True
11,302804,2023-06-21 20:00:00,277,Santos,14,"['d', 'd', 'd', 'v', 'd']",264,Corinthians,15,"['e', 'v', 'd', 'd', 'v']",0,2,True
11,302801,2023-06-21 21:30:00,266,Fluminense,5,"['e', 'v', 'd', 'v', 'e']",282,Atlético-MG,12,"['e', 'd', 'e', 'd', 'e']",1,1,True
11,302809,2023-06-21 21:30:00,265,Bahia,16,"['v', 'd', 'd', 'e', 'd']",275,Palmeiras,6,"['d', 'd', 'e', 'e', 'e']",1,0,True
11,302807,2023-06-22 19:00:00,284,Grêmio,3,"['d', 'v', 'v', 'v', 'd']",327,América-MG,20,"['e', 'd', 'd', 'e', 'd']",3,1,True
11,302802,2023-06-22 20:00:00,267,Vasco,19,"['d', 'd', 'v', 'd', 'd']",290,Goiás,17,"['v', 'd', 'd', 'd', 'e']",0,1,True
