apelido,foto,pontuacao,posicao_id,clube_id,entrou_em_campo,scout.CA,scout.DS,scout.FC,scout.FF,scout.FD,scout.FS,scout.I,scout.SG,scout.A,scout.G,scout.DE,scout.GS,scout.V,scout.PS,scout.FT,scout.PP,scout.DP,scout.CV,scout.PC,scout.GC
Ceppelini,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_l5sEyLV.png"">link</a>",-0.3,4,1371,True,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luiz Adriano,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_SJwFoxe.png"">link</a>",0.0,5,285,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernandinho,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_X6EpiKc.png"">link</a>",0.9,4,293,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercado,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_rOFNbA7.png"">link</a>",-0.3,3,285,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Xavier,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_GJkHCf2.png"">link</a>",8.0,2,266,True,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Dias,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/10/photo_FORMATO_UU1DWbN.png"">link</a>",6.7,5,285,True,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Alves,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_QXt8Pw7.png"">link</a>",2.5,3,284,True,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Caio,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_8nCiWcT.png"">link</a>",0.0,3,262,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aloísio,"<a href=""https://s.sde.globo.com/media/person_role/2022/03/31/a411b722d7d0edc88f871c1a48191dc1_FORMATO.png"">link</a>",2.3,5,327,True,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madson,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_UA5MZDv.png"">link</a>",2.9,2,293,True,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everaldo,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_8pHdjST.png"">link</a>",0.9,5,265,True,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renê,"<a href=""https://s.sde.globo.com/media/person_role/2022/04/12/89131124e240b53f50f1fe351ceb880d_FORMATO.png"">link</a>",3.9,2,285,True,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Cafu,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_7bHRcHm.png"">link</a>",1.6,5,1371,True,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramiro,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_Yl1MU4D.png"">link</a>",2.0,4,283,True,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Santos,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_xMjWx6h.png"">link</a>",-0.1,4,266,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Víctor Cuesta,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_iLUMfpx.png"">link</a>",0.9,3,263,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silvio Romero,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_So2bREb.png"">link</a>",8.9,5,356,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Silva,"<a href=""https://s.sde.globo.com/media/person_role/2021/06/04/a95541b4ee84849f6e060a780b86704d_FORMATO.png"">link</a>",0.9,3,327,True,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cano,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_CKcA05y.png"">link</a>",5.7,5,266,True,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Lucas Silva,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_22BJorG.png"">link</a>",6.7,4,284,True,0.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yago Pikachu,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_jUc4EZ2.png"">link</a>",16.0,4,356,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luciano,"<a href=""https://s.sde.globo.com/media/person_role/2022/03/01/aeb1926a6ddb270206f4ceffcf701d4b_FORMATO.png"">link</a>",9.2,5,276,True,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Lima,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_l0JerUa.png"">link</a>",7.0,4,277,True,0.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jair,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_ut5p6cP.png"">link</a>",-0.3,4,267,True,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alisson,"<a href=""https://s.sde.globo.com/media/person_role/2022/03/01/14ebdbca4e280cd9dfdb9b7e2148afe0_FORMATO.png"">link</a>",5.8,4,276,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juninho,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ek7YW7J.png"">link</a>",1.7,4,327,True,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tadeu,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_jSvkpAL.png"">link</a>",0.5,1,290,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zé Rafael,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/15/photo_FORMATO_XlK02hD.png"">link</a>",2.3,4,275,True,1.0,1.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otávio,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_y7upQyC.png"">link</a>",2.0,4,282,True,1.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tinga,"<a href=""https://s.sde.globo.com/media/person_role/2022/05/12/98abba841d176135f9ec02a557177a7f_FORMATO.png"">link</a>",8.2,2,356,True,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paulo Turra,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_L21KedQ.png"">link</a>",2.38,6,293,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wellington Rato,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_bPEXkEO.png"">link</a>",1.4,4,276,True,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maurício Barbieri,"<a href=""https://s.sde.globo.com/media/person_role/2021/04/27/1cc4a56a4aefc5902e503c4834666651_FORMATO.png"">link</a>",3.88,6,267,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_mbchRWW.png"">link</a>",2.5,5,262,True,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_TvGvJD9.png"">link</a>",2.9,4,282,True,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Léo Pereira,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_Wclql1X.png"">link</a>",2.1,3,262,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tiquinho Soares,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_TbDAa67.png"">link</a>",9.1,5,263,True,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jemerson,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_LiuUOj2.png"">link</a>",5.0,3,282,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Melo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FEUiEbp.png"">link</a>",-0.2,3,290,True,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando Sobral,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_DOXZ9Xn.png"">link</a>",2.1,4,1371,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romarinho,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_UU97nfg.png"">link</a>",1.7,5,356,True,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Evangelista,"<a href=""https://s.sde.globo.com/media/person_role/2022/05/05/175c2911cb392a7305aef49766feb459_FORMATO.png"">link</a>",3.7,4,280,True,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robson,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_wdF92Dr.png"">link</a>",1.2,5,294,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Felipe,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_kJmHr1X.png"">link</a>",-1.0,1,265,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Paulo,"<a href=""https://s.sde.globo.com/media/person_role/2022/03/03/9edc82b201e12a2a0b8dba4d87004195_FORMATO.png"">link</a>",10.0,1,277,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Léo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_upcZmtB.png"">link</a>",1.0,3,267,True,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hyoran,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_we4xNWc.png"">link</a>",1.7,4,282,True,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sander,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_klsEyT2.png"">link</a>",11.0,2,290,True,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keno,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/09/photo_FORMATO_RDEOJLs.png"">link</a>",-1.2,5,266,True,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tchê Tchê,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_FytIYxJ.png"">link</a>",9.7,4,263,True,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Coelho,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_220x220_hWLUIMn.png"">link</a>",6.0,4,283,True,1.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everton,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_EcaScZP.png"">link</a>",-0.2,5,262,True,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danilo Barbosa,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_6wIsdHM.png"">link</a>",1.5,4,263,True,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rodrigo Pinho,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_28kb8HP.png"">link</a>",0.0,5,294,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Boschilia,"<a href=""https://s.sde.globo.com/media/person_role/2022/08/12/8bbade4dbabca44eb3eda2767deda745_FORMATO.png"">link</a>",4.1,4,294,True,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marlon,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_9jhAK26.png"">link</a>",4.9,2,327,True,0.0,2.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eduardo Bauermann,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_GWoHgvv.png"">link</a>",7.0,3,277,True,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Léo Jardim,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/14/photo_FORMATO_2NC7Cvz.png"">link</a>",4.0,1,267,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/12/photo_FORMATO_H5UIx66.png"">link</a>",4.6,4,284,True,0.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matheus Peixoto,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/11/photo_FORMATO_FC0h7Wp.png"">link</a>",9.0,5,290,True,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pedro Henrique,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Pmz9ta0.png"">link</a>",3.4,3,293,True,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos de Pena,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_8NTSnKt.png"">link</a>",0.8,4,285,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kannemann,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_q2fTOjY.png"">link</a>",0.4,3,284,True,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Messias,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_XWlumea.png"">link</a>",8.2,3,277,True,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitor Bueno,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_Vn5DBCR.png"">link</a>",2.5,4,293,True,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neto Moura,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_MSIx6c6.png"">link</a>",0.9,4,283,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yago Felipe,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/10/photo_FORMATO.png"">link</a>",1.7,4,265,True,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philipe Sampaio,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/07/photo_FORMATO_E29teNI.png"">link</a>",3.4,3,263,True,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauricio Lemos,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png"">link</a>",5.5,3,282,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balbuena,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_a0U2siY.png"">link</a>",0.9,3,264,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luís Castro,"<a href=""https://s.sde.globo.com/media/person_role/2022/02/21/3d4eb55c672851b1407085b09c4dfbb4_FORMATO.png"">link</a>",6.28,6,263,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayrton Lucas,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_P9K1v1H.png"">link</a>",3.1,2,262,True,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aderlan,"<a href=""https://s.sde.globo.com/media/person_role/2022/05/05/e0f91d593be16e959e72ad0d5fc131a0_FORMATO.png"">link</a>",2.8,2,280,True,0.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerson,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_UpueHtq.png"">link</a>",8.9,4,262,True,0.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
João Pedro,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_ux7O1sm.png"">link</a>",4.6,2,284,True,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_mkEok8F.png"">link</a>",10.0,2,283,True,0.0,3.0,2.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Maia,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_yDq9MVW.png"">link</a>",2.4,4,262,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iury Castilho,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/06/photo_FORMATO_WoJbpFR.png"">link</a>",0.3,5,1371,True,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calleri,"<a href=""https://s.sde.globo.com/media/person_role/2022/03/01/3abaa943f1546750dd057d6cb3559ce5_FORMATO.png"">link</a>",11.5,5,276,True,0.0,0.0,6.0,2.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cristaldo,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_Sywtl9T.png"">link</a>",2.9,4,284,True,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dodi,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/28/photo_FORMATO_a0W192c.png"">link</a>",-0.4,4,277,True,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Róger Guedes,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/02/photo_FORMATO_39SGFR6.png"">link</a>",12.5,5,264,True,0.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everton Galdino,"<a href=""https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_TtRmr2d.png"">link</a>",0.0,5,284,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Pacheco,"<a href=""https://s.sde.globo.com/media/person_role/2023/05/06/photo_FORMATO_PYjs4Li.png"">link</a>",10.5,2,356,True,0.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raí Ramos,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/15/photo_FORMATO_p3UWrBW.png"">link</a>",6.1,2,276,True,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rezende,"<a href=""https://s.sde.globo.com/media/person_role/2023/02/27/photo_FORMATO_ZCpbjlh.png"">link</a>",1.0,4,265,True,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fabrício Bruno,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_zrQ4flU.png"">link</a>",1.4,3,262,True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Everaldo,"<a href=""https://s.sde.globo.com/media/person_role/2022/02/25/561f3ca4238e82e1b2e1479a1a66c551_FORMATO.png"">link</a>",5.8,5,327,True,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PK,"<a href=""https://s.sde.globo.com/media/person_role/2023/04/11/photo_FORMATO_kfJYHxI.png"">link</a>",4.0,2,1371,True,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
